# Removed overlapping spots
574.217880 736.873411 7.728546
675.647569 687.917591 7.767344
625.711141 588.956356 7.345433
830.248323 592.286553 7.542771
881.651748 591.156399 7.351177
879.525764 791.515647 7.387241
572.608022 786.735380 7.479875
778.592919 689.377442 7.470226
624.395335 787.934095 7.620329
573.705309 687.847502 7.297134
575.369751 587.989094 7.228502
575.822557 487.897791 7.426253
624.854002 687.789050 7.006534
728.022222 640.013893 7.388719
574.391742 637.869087 7.128847
727.162865 689.066066 7.299453
674.548878 789.031086 7.291083
726.031446 788.330318 7.249798
831.233348 491.428934 7.164614
881.898350 540.943318 7.438282
675.491812 736.535826 7.299650
779.422403 639.216234 7.376844
828.919295 691.631873 7.794235
829.439481 790.610388 7.249079
778.445833 788.756489 7.149980
728.445485 590.597516 7.493571
724.760091 739.399905 7.251589
626.345001 538.080603 7.296827
677.774653 538.880257 7.384213
728.833685 539.512655 7.400426
830.584412 641.816084 7.388914
625.537649 638.011539 7.263054
624.360723 737.472135 8.012199
778.738045 590.224087 7.245991
678.534739 487.903397 9.758090
829.016092 741.742370 7.250494
830.092277 540.295727 9.901743
574.409758 535.978739 7.516419
777.271972 738.668196 7.071558
886.728404 729.868154 7.406002
218.284996 690.973780 7.483472
167.011718 691.956013 7.209892
167.803421 641.610359 7.436259
168.218384 541.521744 7.676713
218.374115 592.556692 7.307580
220.455406 491.855524 7.198020
116.810376 691.321654 7.316345
168.388301 591.083323 7.232179
117.721712 590.843130 7.330952
118.155764 638.394579 9.346241
119.396180 491.923900 7.188829
218.632386 641.578923 7.333937
118.249628 539.995352 7.222434
169.908992 491.465170 7.264520
218.608556 543.600197 7.834493
423.185494 594.917333 7.212407
269.958140 593.054782 7.203640
372.200645 594.017340 7.411418
320.322460 593.890949 7.326008
369.656150 694.399374 7.522953
268.755496 694.000000 9.799911
318.742988 694.498324 7.685716
421.391879 695.112068 7.731031
269.915941 543.653485 7.450926
321.124167 544.284159 7.244635
423.773899 545.204492 9.901743
372.299920 545.196044 7.883753
321.452307 493.762549 7.248209
370.828191 495.061555 7.144515
887.367744 249.490942 7.423648
682.938574 297.868274 7.463133
735.689698 197.993371 7.486576
785.916616 249.060351 7.410358
888.743439 200.062048 7.389129
835.627453 349.231848 7.395151
631.941024 246.232899 7.355349
886.323324 299.659939 7.397099
784.035030 299.146777 7.209342
631.458980 345.928291 7.314938
681.475466 346.304380 7.555475
733.049222 297.782256 7.228042
784.388677 348.270875 7.893208
683.414750 197.473611 7.437244
733.937576 348.146897 7.365678
583.748886 196.128219 7.311435
836.751752 299.600736 7.778311
580.676062 246.679385 7.286960
835.536888 249.268522 7.622885
836.434012 199.238805 7.179395
632.466019 196.801575 7.235833
735.063012 248.340614 7.182088
579.046936 345.751312 7.203855
886.988382 350.132088 7.354287
785.678864 199.138904 7.339553
671.458444 249.489797 9.475812
321.712101 288.000000 7.303474
219.838594 338.043444 7.557181
321.458367 339.619200 7.339768
372.774702 290.110130 7.464496
270.526391 288.930124 7.402823
424.119598 290.795861 7.455393
220.495133 288.374059 7.374729
120.573859 285.969830 7.414562
424.158306 340.983461 7.351031
271.913475 338.452152 7.195632
371.614086 341.334092 7.285553
168.596818 287.473210 7.000000
119.264981 336.076928 7.259074
220.522143 237.552030 7.658452
425.008087 241.504440 7.516201
272.434361 239.039424 7.398172
120.615502 236.144360 7.546757
320.952174 238.866778 7.151263
322.987987 189.000000 7.396122
374.710988 190.223092 7.622735
424.757136 190.978194 7.547980
122.400550 188.150064 7.292728
174.089347 187.591192 7.058304
