# Removed overlapping spots
217.287035 693.000000 9.677985
785.851354 248.973111 7.400327
683.499034 297.490456 7.237383
573.711208 737.305847 8.145041
167.277749 692.819922 7.554690
373.000000 291.508634 7.489459
323.089539 289.214056 7.824150
370.054269 693.389593 7.332086
886.950321 250.888798 7.654694
623.823763 788.587498 7.788895
574.132988 637.028066 7.197566
268.330205 693.293920 7.716230
219.051285 593.294580 7.202523
271.989794 239.420393 7.458564
887.939778 200.576134 7.425647
625.516745 638.899706 7.509052
683.161139 197.595986 7.324111
167.973457 641.748304 7.484725
120.540221 286.962911 7.859176
727.946236 641.304160 7.394619
783.372170 349.367566 7.882646
269.370425 593.739766 7.180278
880.935063 593.115574 7.505390
424.000000 496.000000 7.240368
117.975323 590.807850 7.282921
631.284154 247.237640 7.249872
167.889443 591.939373 7.305192
574.547291 686.552724 8.240407
836.267686 200.484516 7.217271
319.246756 694.508000 7.468710
778.702437 691.016677 7.367072
420.545903 695.096318 7.868706
725.610262 790.047537 7.245453
630.749103 346.464956 7.280798
777.482328 790.168080 7.292457
675.574764 690.410148 7.202619
830.229606 590.851627 7.438648
733.828944 248.673592 7.288003
574.111773 538.845639 7.281166
221.108196 237.910910 7.558110
727.264011 737.183632 8.310390
886.026125 299.464516 7.378023
117.244591 642.063238 7.417131
574.900222 587.911073 7.144515
674.554585 789.601957 7.380405
728.866658 491.000000 7.247516
735.025553 198.773670 7.270967
169.985586 286.806110 7.333356
727.945742 588.981603 7.367296
321.694989 339.996550 7.639987
733.026250 348.154936 7.483889
572.385081 787.728163 7.280307
829.946609 641.138149 7.298021
424.252988 241.691649 8.382607
372.594701 341.039088 7.649182
674.774514 738.854659 7.272096
271.273388 492.000000 7.292728
831.791791 490.829930 7.586127
220.341950 493.198023 7.460124
779.372574 540.695638 7.756264
270.542144 288.652856 7.349066
681.488046 347.647134 7.367072
118.805588 541.338424 7.383049
371.839889 595.187867 9.895344
880.557356 691.119729 7.947603
118.827662 336.925167 7.284093
580.511031 246.126011 7.740189
835.351652 250.384282 7.302711
270.027038 543.776749 7.260053
880.131530 790.645301 7.443961
886.909698 350.450741 7.319550
320.459876 542.808499 7.130051
423.362961 290.791670 7.175034
835.605202 349.595335 7.274883
320.150941 594.102360 7.131941
778.820870 640.889229 7.520914
219.623885 338.156003 7.741101
116.564069 690.786782 7.347988
829.675780 691.120933 7.822151
727.387882 690.229993 7.324619
422.554788 546.632046 7.393094
778.344148 591.608265 7.306839
120.761756 236.858599 7.383226
625.235833 687.410968 7.599367
422.688740 596.233430 7.065019
582.651599 196.558786 7.312115
119.289868 491.495184 7.311133
578.391638 345.742399 7.548164
676.904838 539.358986 7.221636
423.609481 340.930679 7.497592
218.542428 643.400538 7.465486
728.474051 538.801896 7.657901
626.381161 538.073858 7.399893
169.115203 492.048801 7.235833
168.993982 541.111984 7.419711
784.537594 299.006371 7.232080
319.857482 644.843340 7.248209
830.911174 542.375407 7.268675
624.706425 737.733151 7.221636
881.021300 641.943355 7.144515
372.130746 545.087041 7.125674
677.280495 589.160361 7.024174
785.193438 199.197496 7.262553
683.024574 249.159670 7.200840
575.477554 489.072017 7.716180
881.319758 543.327292 7.320143
625.644174 588.986436 7.311728
882.065973 492.589017 7.374243
836.782131 299.570464 7.191977
678.410057 489.673627 7.658825
218.856367 542.578889 7.113994
581.562847 296.501363 7.278704
828.742044 740.652924 7.225207
627.175373 489.053412 9.928887
271.187846 337.961278 7.081216
777.235746 741.253961 7.343222
321.465157 494.348375 7.218176
828.972667 790.769661 7.155405
220.049775 288.387916 7.497572
268.333532 643.088319 7.101789
675.618979 641.150296 7.463043
169.532220 337.177363 7.434537
780.738849 491.686739 7.342500
120.742690 188.006043 7.249079
370.692729 644.682290 7.179945
631.399821 297.907743 7.203968
321.513741 239.933243 7.720955
374.837459 240.628697 7.079776
631.897694 196.323642 7.392727
170.062846 237.489464 7.214827
422.101891 318.759733 7.342300
419.894634 644.012814 9.219038
372.306093 496.081128 7.416195
788.043320 48.175745 7.425504
880.276791 742.659504 7.967200
124.386929 141.340390 7.321884
685.556996 48.089348 7.312115
885.705006 53.882401 9.090007
122.537173 36.030160 7.664916
582.453511 49.161442 8.212938
426.849555 42.560825 7.556881
223.325527 40.984354 7.463118
735.182386 48.309390 7.235833
174.885631 37.278397 8.397805
837.370533 50.524499 9.239307
732.615971 298.467042 7.298100
