# Removed overlapping spots
401.000000 384.000000 5.113362
636.000000 612.000000 5.164016
159.000000 320.265822 5.129669
365.000000 802.554469 5.189675
210.000000 155.000000 5.128309
174.475273 777.000000 5.176808
438.000000 777.406181 5.222308
138.000000 815.468815 5.153894
299.000000 638.000000 5.209807
247.000000 599.000000 5.270111
262.000000 727.000000 5.258310
356.876284 130.000000 5.244877
196.000000 308.000000 5.123669
167.000000 866.000000 5.199726
518.632738 739.000000 5.308049
372.000000 307.000000 5.320928
174.000000 625.000000 5.311428
56.426899 346.000000 4.877945
445.000000 561.000000 5.109042
399.365477 410.000000 3.225677
115.616195 981.000000 5.147436
701.000000 422.000000 6.155451
564.000000 662.000000 5.162445
931.000000 992.000000 7.887766
981.000000 242.708091 5.075569
320.671661 573.818798 5.166647
101.000000 422.000000 5.090577
634.000000 180.000000 4.198573
291.342726 599.000000 5.133444
115.000000 193.000000 5.259859
745.000000 192.590221 5.483971
291.599352 828.000000 5.015544
541.000000 548.380879 5.023289
723.000000 357.770008 5.165567
372.000000 561.000000 5.377193
224.813829 181.000000 5.216730
225.713073 943.000000 5.106850
277.000000 625.000000 5.073259
291.000000 371.000000 5.036193
364.000000 371.000000 4.926559
204.000000 802.000000 5.015043
518.000000 612.000000 5.100389
189.000000 599.436850 5.616376
819.000000 624.000000 5.051673
343.000000 992.678586 5.105693
650.540505 561.000000 5.155706
151.941457 308.000000 4.907275
269.000000 231.386294 5.317370
159.248098 142.341117 5.059182
210.000000 358.000000 4.950415
717.000000 726.000000 5.091723
863.364941 955.000000 4.948310
86.000000 498.000000 5.129196
548.000000 586.000000 5.340412
856.000000 510.326603 5.085863
159.555819 701.000000 4.898436
775.300617 574.000000 5.238409
277.000000 498.000000 5.139599
159.000000 600.000000 5.143783
314.000000 993.000000 5.111263
72.000000 295.000000 4.985701
20.000000 358.000000 5.300912
270.000000 713.557857 5.119717
372.113865 332.846742 4.846373
86.000000 244.245253 5.300568
226.000000 790.000000 4.943644
460.000000 460.000000 5.224421
218.000000 624.583283 5.320779
261.000000 243.000000 3.737832
268.770354 282.000000 5.246245
254.552382 409.000000 5.177927
877.000000 625.000000 5.117298
570.000000 777.000000 5.259677
900.000000 307.000000 5.048293
94.000000 308.000000 5.386478
769.000000 942.000000 5.169702
247.348948 675.649878 5.163426
475.000000 815.381167 5.202869
628.000000 701.000000 5.004073
320.000000 117.000000 5.119731
34.613062 484.932160 5.138424
959.000000 942.000000 5.080718
577.000000 205.000000 5.043641
350.400246 828.000000 5.139969
94.000000 536.416858 5.129645
57.000000 549.000000 4.945639
489.000000 384.000000 5.150641
783.000000 942.000000 5.065622
590.953460 180.000000 5.015747
439.000000 904.000000 4.881964
115.000000 346.000000 5.185926
761.000000 904.000000 5.214009
5.533944 663.000000 4.647148
724.000000 688.000000 4.949638
643.000000 396.000000 4.965348
50.000000 484.952747 5.530616
732.000000 980.000000 4.976052
27.000000 269.477972 5.215871
379.294704 117.000000 5.247086
189.000000 650.000000 5.089315
314.205891 739.000000 4.910737
211.000000 815.386175 5.088845
775.000000 218.000000 4.958006
233.000000 599.000000 5.244435
885.000000 434.000000 4.861958
445.553365 967.566653 5.071129
137.000000 612.000000 5.405689
248.000000 878.614070 5.016092
358.000000 333.000000 4.967452
424.000000 879.000000 5.021205
262.000000 523.000000 4.897031
409.000000 802.609414 5.147699
797.000000 155.000000 5.160121
6.000000 460.000000 5.127527
116.000000 523.000000 5.184605
357.000000 409.000000 4.746797
423.000000 599.000000 5.180958
591.000000 637.327660 5.397446
85.000000 193.000000 4.812588
467.540210 904.000000 5.118298
174.000000 320.242183 5.134696
189.000000 422.000000 5.113868
723.000000 637.000000 5.213909
233.000000 472.474881 5.359127
152.000000 333.000000 5.003092
137.000000 333.430179 5.140533
555.000000 523.112084 5.068601
218.000000 193.000000 5.162791
943.619972 764.000000 4.683905
746.000000 345.000000 4.919084
284.469200 739.000000 5.174291
672.526435 244.000000 5.011809
166.000000 256.591262 5.055855
116.000000 676.000000 4.885540
459.576062 256.000000 5.174258
738.518911 282.000000 5.049723
422.818475 574.000000 5.296905
489.000000 816.000000 5.275702
791.000000 599.000000 4.459691
512.000000 294.000000 5.068845
101.000000 396.000000 5.427048
299.000000 688.401130 5.270118
226.000000 435.000000 5.052818
929.353764 561.000000 5.121959
598.587255 117.000000 5.009357
760.000000 573.479828 5.089731
519.000000 993.000000 5.094681
298.000000 765.000000 4.891111
203.112721 549.000000 5.079657
966.000000 523.000000 5.255670
460.000000 612.000000 5.308209
820.000000 828.000000 5.051780
856.000000 916.376846 4.937041
342.000000 282.000000 4.704260
540.434409 345.000000 5.177993
686.934907 726.157992 4.925680
116.000000 396.000000 5.069810
189.000000 752.000000 5.080402
599.000000 422.000000 5.005052
680.000000 332.000000 5.067221
680.427426 942.000000 4.998142
702.000000 675.000000 5.046202
893.000000 370.696721 5.235265
365.000000 929.445386 5.171631
423.000000 904.000000 4.629327
900.000000 256.000000 5.263841
812.000000 281.000000 5.036781
504.000000 307.338815 5.117853
761.000000 599.000000 4.961069
511.000000 244.000000 5.583138
108.313475 587.000000 5.227102
951.583320 727.000000 4.502700
951.000000 624.489484 5.111951
835.000000 650.000000 4.770874
811.498848 383.000000 4.730268
321.000000 320.000000 4.832321
78.523993 587.000000 4.961099
761.000000 625.000000 5.072210
862.595033 167.000000 5.188871
79.000000 460.000000 5.146904
775.000000 701.000000 5.003862
871.000000 942.000000 5.270815
731.000000 802.000000 4.898270
328.000000 485.000000 5.053759
570.161424 573.000000 5.102864
548.000000 840.000000 5.313854
203.000000 498.000000 4.989049
775.000000 472.000000 5.180106
680.000000 585.707057 5.179003
394.000000 549.000000 5.170834
716.449307 599.000000 4.987196
635.836431 738.707127 4.998305
812.000000 612.000000 5.135701
277.000000 574.000000 5.060098
885.574794 866.000000 5.119675
929.292404 662.000000 4.982497
123.000000 917.000000 4.962640
848.000000 218.000000 4.917826
995.000000 523.000000 4.732849
467.436512 548.000000 4.959703
453.000000 675.000000 5.091334
980.000000 294.000000 5.158211
203.000000 168.133827 5.026201
86.000000 523.507943 4.654714
313.000000 307.445371 4.987591
350.000000 930.000000 4.985457
973.000000 459.370323 4.951911
981.000000 852.672044 5.062992
225.000000 968.000000 5.079586
922.000000 320.000000 5.068004
467.000000 345.000000 5.334553
958.481385 611.674728 5.024249
621.000000 586.000000 5.388895
57.000000 956.000000 5.016212
453.000000 726.000000 5.002586
716.000000 497.000000 5.208933
548.000000 612.000000 4.964082
20.000000 713.658640 4.952688
716.000000 396.000000 5.209092
842.197088 256.340738 5.313049
702.000000 243.562555 5.013905
966.000000 573.486023 5.198922
327.676166 256.000000 5.180433
12.000000 625.000000 4.940720
951.000000 447.000000 4.975167
642.542871 116.453291 5.293563
452.000000 473.000000 5.056885
966.000000 650.000000 4.975685
878.000000 980.000000 4.990328
181.000000 384.000000 5.096076
885.000000 764.000000 4.907566
306.000000 396.000000 5.119053
256.000000 943.000000 4.727641
614.000000 294.000000 5.048543
416.000000 307.432000 5.058825
321.000000 472.522862 5.111880
197.000000 764.630579 5.172540
709.000000 992.620562 5.021851
526.000000 294.000000 5.028492
804.479072 650.000000 5.038399
