# Removed overlapping spots
797.825397 249.421269 7.136718
901.000000 199.000000 7.330037
585.105819 736.122215 9.055727
595.131785 95.210386 7.520894
287.000000 38.000000 7.782386
132.318673 235.519439 7.672676
439.240061 89.701976 7.271545
637.000000 589.134754 7.790433
381.597480 692.509892 7.386357
592.445436 344.899654 7.595744
330.461832 692.062610 7.664946
694.180983 297.237928 7.375415
840.751316 690.785325 8.628571
432.353751 693.379265 7.647489
739.641264 589.576232 7.363141
795.613522 348.342175 8.827722
697.373214 97.020483 7.385000
798.661330 199.060088 7.357873
183.000000 235.821219 7.389781
437.297127 240.365463 7.888302
900.311174 250.386339 7.240313
796.344125 297.823009 7.333706
435.122863 340.453921 7.283230
898.665040 300.396424 7.630068
232.245077 286.255542 7.183648
890.000000 790.000000 7.446222
279.519769 691.819665 7.420889
434.179414 593.596131 7.475187
689.106825 538.703355 7.409748
644.100551 246.151812 7.788852
583.692316 786.068525 7.577253
385.713489 289.067400 7.456583
229.515494 690.036650 7.541332
848.344727 299.250378 7.302512
229.646044 641.764063 7.526671
586.605530 586.858510 8.078038
849.853442 149.897798 7.442656
902.243485 50.188167 7.297134
436.614299 290.714979 7.296228
281.787851 493.145059 7.477845
787.885963 790.170849 7.432347
185.015316 86.451402 7.511285
645.400650 96.257070 7.312486
335.243103 288.381632 7.212605
635.288509 787.315249 7.653364
135.747305 36.005675 7.318887
843.128671 491.554099 7.709532
133.853627 185.739155 7.303165
584.996317 686.775948 7.718776
389.485980 40.351051 7.278928
385.340316 340.108369 7.811994
895.000000 491.371538 7.757124
849.198286 199.859274 7.462930
382.691547 592.693673 7.122727
799.307657 149.130535 7.393246
338.021401 39.276519 7.409467
284.278093 238.243056 7.841709
791.580178 539.482545 9.659345
334.180166 338.435019 8.804973
231.276177 491.407787 7.328650
838.397971 790.817704 7.888777
128.155537 690.348358 7.442234
130.907750 489.238674 7.366399
684.836320 788.426907 7.233767
842.410677 541.891823 7.593834
748.138699 146.683821 7.096829
738.166767 739.156963 7.288754
740.371331 539.877831 7.388227
638.416085 537.370435 7.345824
694.582063 346.817891 7.363616
181.079053 490.968266 7.282535
737.555796 789.000000 7.349072
635.539514 737.475415 7.660467
233.747872 237.450415 7.544622
738.452932 688.867935 7.410609
897.857958 349.811724 7.712218
642.535840 346.583994 7.564307
128.625997 638.847942 7.386419
687.104660 688.543896 7.788730
131.141644 285.805544 7.440976
644.774623 197.000000 7.226736
284.160569 287.663255 9.878776
231.893228 336.610837 7.315502
745.367774 298.053710 7.431922
234.887751 187.159725 7.599618
131.383305 335.419113 7.350890
841.000000 639.256562 7.073799
282.586894 337.598448 7.792936
791.254365 489.883116 7.253089
744.964772 347.989134 7.567136
841.785649 591.126835 7.401393
178.976146 639.419894 7.325738
686.526539 739.132439 7.292280
229.416158 590.317216 7.412443
434.309183 493.618167 7.302304
902.737959 150.667073 7.666387
697.482097 46.797600 7.257091
134.685740 136.067637 7.430742
184.617978 136.665002 7.133381
636.452964 687.256742 7.412251
182.328323 334.954882 7.643439
433.933278 544.518124 7.366562
178.126799 689.560125 7.555002
335.536051 188.220089 7.760483
647.308923 47.211461 7.388489
185.374879 36.675745 7.442726
438.986015 139.769450 7.520146
333.279556 492.501739 7.411963
696.467042 198.000000 7.532012
893.577154 591.560311 7.506828
592.711029 244.000000 7.091401
439.326525 40.436059 7.475539
747.194041 249.000000 7.160469
386.774970 189.809762 8.088044
749.079681 48.746172 7.471208
587.700711 487.488441 7.527455
645.079191 146.553985 7.346113
790.167652 590.235944 7.563567
846.499244 348.392711 7.140138
788.779617 690.314050 7.521251
334.746228 239.187633 7.603618
235.218056 138.201994 7.667902
179.488500 589.696896 7.507916
134.885964 85.962334 7.544697
437.513831 190.550475 7.715823
587.095485 537.277043 7.655081
850.997125 49.000000 7.190115
129.199720 589.926239 7.629362
643.460859 296.748787 7.253814
747.403613 198.304183 7.473131
585.362527 637.437376 7.317420
236.607940 38.363570 7.706748
847.576901 250.082178 7.355882
180.705518 539.557348 7.337739
738.919604 639.721156 7.568504
182.340914 285.686370 7.420525
594.385126 145.687969 7.246395
336.771637 138.559009 7.368536
387.890452 89.412037 7.888236
689.668428 488.961787 7.484678
788.670146 739.795631 7.367027
285.119450 188.222559 7.599540
592.172118 295.654650 7.888727
800.062678 48.269775 7.390540
130.005244 539.145401 7.413930
281.013846 591.842217 7.220056
387.845334 139.972833 7.404905
892.778390 542.327913 7.238850
230.562482 540.294584 7.401841
280.984087 541.630317 7.574332
331.442397 591.971096 7.744944
740.745824 489.664193 7.303474
286.784812 87.989463 7.463334
331.871664 541.622233 7.373696
695.953425 146.902738 7.363567
183.644170 186.718735 7.382371
285.479157 137.856348 7.458598
383.667825 493.167441 7.292728
593.408122 196.191331 7.192772
595.723061 45.621322 7.299120
636.769071 637.668869 7.522158
639.419386 487.515013 7.593524
383.250165 543.017587 7.252319
892.061752 640.622880 7.339570
839.589080 740.525544 7.352874
337.533845 88.894769 7.239625
687.755958 588.559194 7.120386
687.640517 638.099526 7.181844
236.160306 87.126747 7.351031
902.139986 99.624876 7.179945
798.801092 97.315891 7.267706
384.639924 239.043020 7.375770
331.230906 642.623138 7.179945
850.131510 99.031104 8.366600
891.389029 740.646028 7.235833
695.716220 248.662821 7.545991
