# Removed overlapping spots
266.655803 371.491889 4.873620
655.000000 993.000000 5.411114
838.669281 853.584714 5.246855
523.000000 612.225522 5.192532
545.461219 853.420506 5.143769
61.461623 828.616272 5.442232
318.000000 308.000000 5.215035
860.328980 637.700642 5.386594
926.343983 777.690865 5.268729
471.606073 346.555823 6.309972
244.436158 155.431381 5.106788
538.605693 916.000000 6.428643
603.419085 269.536659 5.558777
561.000000 523.000000 6.809331
853.431544 828.292318 5.119522
897.000000 599.655064 5.406380
46.505738 295.498658 5.209286
640.566514 815.428982 4.908854
369.429318 701.385059 5.023121
728.911082 359.000000 6.389768
120.000000 980.706968 5.281919
376.505113 409.537009 5.457724
816.657388 891.604563 5.399267
992.539595 739.573209 5.160586
728.364408 307.638408 5.431498
457.340862 777.711919 5.306530
200.427746 206.000000 5.180382
685.000000 917.000000 5.305031
508.438337 612.352257 5.003269
662.000000 345.664773 5.374195
948.520573 866.239652 5.186439
861.000000 511.000000 5.695163
223.000000 244.586427 5.304186
39.000000 486.000000 5.339508
244.000000 130.000000 5.412651
134.635057 371.594236 5.271487
303.538112 841.000000 4.982441
186.000000 436.000000 5.338711
54.146861 841.487134 5.345371
471.533580 218.630384 5.270939
266.436463 245.264561 6.354403
707.000000 777.643820 6.250465
406.363803 917.504746 5.089216
750.673988 929.691138 5.336516
970.279066 498.000000 5.206839
823.624189 574.381454 5.135261
816.367171 561.504111 5.401664
222.242713 117.000000 5.273143
795.000000 701.000000 5.145695
941.000000 168.000000 5.297389
245.000000 790.304105 5.229495
977.597521 612.314946 5.338568
149.572829 803.253774 5.352677
39.430859 587.000000 5.283343
46.408715 574.607078 5.503365
647.714500 599.423816 5.080574
245.000000 232.000000 5.167916
486.336596 574.392636 5.326361
772.380852 434.000000 6.527045
61.324048 574.661956 5.400766
90.442348 245.000000 5.895845
303.446240 536.000000 4.901402
750.472779 650.273247 5.307669
838.517408 675.653279 5.286565
985.000000 219.000000 5.291158
200.639446 358.636770 5.286863
501.547528 929.690727 5.230314
391.276400 562.000000 5.254624
428.000000 574.000000 5.389916
405.000000 383.000000 6.602907
574.342043 320.307883 5.034204
24.365880 409.000000 5.201698
743.000000 841.217097 5.158931
985.000000 828.339584 5.292125
728.390932 688.000000 4.995397
230.000000 282.542674 5.315779
164.000000 955.000000 5.260393
831.000000 359.000000 5.112788
963.353710 943.000000 5.241527
465.000000 942.607712 5.316066
933.532800 409.273017 5.114618
596.512460 612.314867 5.263253
625.619893 383.761697 5.254403
626.000000 485.000000 5.548864
889.779273 307.467214 5.101158
977.516427 409.581018 4.862744
494.000000 561.669157 5.392669
611.000000 460.000000 5.058414
765.376582 498.000000 5.175761
839.000000 650.181749 5.370872
875.601808 942.779652 5.194398
215.491574 993.667641 5.200725
479.252221 333.415308 4.848262
596.465941 790.000000 5.418156
91.000000 955.261550 5.188936
523.000000 968.000000 5.135557
76.248885 828.483640 5.452436
582.000000 510.000000 5.606604
39.289037 435.329735 5.384232
867.655322 955.000000 5.093669
691.347716 117.230532 5.342349
508.588080 815.523657 5.053149
713.708622 307.406727 6.594674
984.734677 396.496346 5.237388
911.789897 752.000000 5.164190
515.358413 167.807987 5.254643
758.396434 739.368407 5.031695
120.546159 930.000000 5.134919
896.331016 143.000000 5.469890
24.696626 460.382104 5.295556
545.649618 573.597606 6.853038
750.401265 320.315555 5.059129
171.611444 790.765164 5.129788
251.700589 219.000000 5.301275
560.000000 726.000000 5.119915
758.000000 383.778335 5.340750
705.000000 142.401280 5.410061
640.580367 790.000000 4.815953
465.000000 612.367845 6.410802
897.000000 421.852360 5.270518
46.683331 701.554967 5.161995
574.370460 803.000000 5.056942
201.000000 993.818735 5.452420
464.441104 257.000000 5.259654
83.000000 232.000000 5.250471
582.000000 790.222474 5.170909
860.577080 765.000000 4.974775
868.000000 498.000000 4.999834
758.232617 840.653999 5.150297
604.000000 345.688545 5.278827
10.000000 486.000000 5.274145
266.493351 599.775600 5.590382
91.000000 498.000000 5.745332
54.467617 485.418282 4.334686
83.490356 689.000000 5.147520
545.481179 929.641671 5.497858
450.000000 130.190647 5.102215
112.754468 460.000000 4.850692
787.317297 612.334998 5.409715
420.469526 257.000000 4.934421
860.381797 663.000000 5.376003
941.000000 295.000000 5.290858
310.000000 117.418768 5.075706
618.403644 396.300664 5.188721
948.521365 765.000000 5.169048
171.332276 181.342748 5.218303
200.721296 282.284288 5.177504
208.413039 777.719432 5.383121
809.000000 244.000000 5.113792
156.751270 536.000000 5.196680
743.315896 713.682903 5.216750
926.000000 981.000000 5.610100
369.206884 549.000000 5.261194
428.000000 955.198488 5.297138
875.000000 435.000000 5.353583
831.000000 993.233467 5.283041
926.664867 929.607198 5.229116
156.688415 359.000000 5.200066
773.000000 383.447342 6.811114
956.000000 777.687408 5.263368
750.000000 371.246221 5.241473
428.000000 853.578395 5.256807
384.000000 193.781828 5.215766
530.000000 218.487522 5.056012
348.000000 282.000000 6.257471
428.000000 803.000000 5.049644
824.265278 929.424809 5.018509
904.294663 485.336831 5.052432
984.708264 269.326309 4.875366
369.000000 168.000000 5.151440
361.755689 257.000000 4.923327
589.277615 142.000000 5.495160
398.503700 523.648343 5.167706
596.000000 155.394684 5.089405
163.643872 143.000000 5.286953
919.634774 942.744156 5.263687
10.000000 663.748898 5.492219
721.000000 371.146035 5.291880
912.000000 726.467784 4.969226
10.000000 562.000000 5.335111
68.725913 460.000000 5.235225
135.000000 828.000000 5.285159
479.000000 663.000000 5.379751
750.000000 219.000000 5.094077
515.529560 472.666709 5.107003
670.000000 256.615290 5.187703
457.000000 752.434815 5.241364
428.000000 549.000000 5.531358
662.724441 879.000000 4.920707
692.194920 904.000000 5.243221
772.446729 510.721158 5.462321
904.000000 130.000000 5.122942
464.356503 384.000000 5.334633
449.833838 485.000000 4.949137
801.409235 409.236981 5.267567
970.157991 778.000000 5.351944
112.511816 485.606007 5.494145
684.419368 790.263817 4.934207
765.000000 244.000000 4.975756
523.000000 790.000000 5.156574
603.773324 777.000000 5.358415
949.000000 943.000000 5.268157
10.342700 866.702188 5.295794
926.195082 524.000000 5.115050
860.000000 307.939701 5.167271
985.000000 371.339252 5.247091
281.445192 879.000000 5.232753
662.000000 371.185911 5.005151
691.429039 218.739361 5.164379
817.000000 713.000000 5.354322
963.000000 790.202204 5.229509
603.635186 447.334750 5.162033
545.204698 523.000000 5.236184
662.684173 904.219043 5.228999
127.000000 232.208956 5.373971
948.317770 485.439118 5.053194
933.599535 282.329090 5.397688
765.000000 752.000000 5.126722
545.000000 320.385818 5.215878
882.395161 523.297183 5.192969
471.440478 142.472315 5.045472
120.000000 320.696605 5.304293
413.389237 752.000000 5.137681
765.477360 726.386989 5.029324
919.296479 866.470629 5.059301
545.000000 549.000000 4.889724
831.513054 866.153886 5.030310
156.782753 485.692854 5.143787
831.000000 688.515304 5.147079
765.000000 574.000000 5.291321
450.000000 816.000000 5.243096
640.256068 637.650580 5.433431
574.471514 294.750146 5.330337
523.000000 993.000000 5.480299
281.000000 244.000000 5.130053
750.000000 346.000000 4.827311
728.400726 663.000000 4.985359
127.812396 968.398320 5.017084
171.312515 359.000000 4.952855
699.000000 637.829102 5.169977
728.631611 866.274073 4.987904
911.568043 396.758842 5.048350
486.304076 422.000000 5.245662
949.000000 917.340670 5.170523
765.000000 599.000000 5.215434
780.000000 955.028167 5.371199
890.000000 130.000000 5.419508
867.474973 244.000000 5.144742
369.180342 422.000000 5.278117
809.000000 548.796292 5.348952
106.000000 854.000000 5.062375
369.376715 625.000000 5.396143
559.635365 295.000000 5.161104
640.327985 307.550808 5.141981
743.000000 663.000000 5.085211
816.000000 130.000000 5.164375
178.473409 193.762210 5.149114
530.445808 574.259004 5.135967
245.000000 384.000000 5.211315
574.303974 396.331328 5.007641
948.444063 460.000000 5.311129
501.000000 269.470344 4.970320
112.632977 587.000000 5.136403
266.490076 269.728410 5.336175
68.659813 562.000000 5.139318
193.431824 397.000000 5.120995
303.432182 638.000000 5.438764
311.000000 269.807897 5.221407
384.000000 650.000000 5.074447
677.000000 701.000000 5.194913
779.626894 295.000000 5.051294
927.000000 549.000000 5.476398
281.286124 447.521816 5.500725
32.527469 904.650381 5.098745
992.000000 257.000000 5.309628
76.000000 498.404245 5.318117
772.081029 180.000000 5.153768
897.000000 650.000000 5.258795
244.694829 562.000000 4.926600
955.344110 143.000000 5.497162
266.517700 295.000000 5.155200
428.000000 523.000000 5.212241
589.000000 345.547784 5.151389
640.000000 993.000000 5.020295
875.000000 714.000000 5.118587
963.000000 638.000000 5.374774
252.000000 371.408775 5.158626
178.749289 473.000000 5.190151
743.000000 688.442808 4.909853
142.000000 917.289766 5.029686
61.000000 372.000000 5.374417
178.845297 270.000000 5.305603
948.473944 815.694924 5.454389
83.702472 816.000000 5.185663
706.581552 929.595243 5.259275
955.190382 193.359790 5.204652
62.000000 981.000000 5.194899
252.560724 853.907922 5.096600
992.481301 714.000000 5.335125
318.000000 765.000000 5.306810
376.379271 384.000000 5.177792
501.000000 549.000000 5.007552
933.568147 663.000000 5.228359
515.735139 980.502349 5.330642
325.441692 676.000000 4.957902
25.000000 740.000000 5.064534
200.407003 130.000000 5.405149
340.196521 574.000000 5.170978
361.794318 562.000000 5.152777
383.000000 142.709789 5.281078
736.000000 853.466602 5.196301
