# Removed overlapping spots
202.403874 688.738632 7.455585
864.678272 784.000000 7.332053
663.837030 92.398155 7.268404
303.309021 188.386233 7.822940
559.215346 733.332079 9.053902
253.000000 237.008462 7.559760
101.675602 35.906996 7.839181
201.476664 237.799268 7.693864
664.634736 42.584835 7.501697
715.523118 192.000000 7.175666
405.600134 692.480504 7.519320
714.943702 342.305065 7.446819
302.713244 338.365156 8.004362
302.831766 691.076274 7.351299
609.068748 783.125373 7.321557
355.000000 188.516707 9.739601
353.915089 338.110889 7.516873
200.818371 336.794904 7.494273
405.358026 89.187848 7.466449
765.672729 243.030253 7.641102
660.146093 684.240750 7.703203
608.813514 634.200887 7.370578
201.181728 285.682665 7.400623
663.181150 291.998778 7.493309
252.403228 590.776689 7.317291
253.111805 37.820427 7.353651
405.075677 190.000000 9.868580
405.370558 238.437659 7.406395
252.444301 691.324357 7.736849
151.176868 690.524534 7.263029
864.824450 685.056632 8.512097
151.075898 236.296617 7.491044
659.547233 784.431213 7.311281
764.824687 292.800848 7.420267
405.228433 288.356370 7.782369
816.533212 193.052047 7.385261
100.848271 336.430024 7.578520
355.219648 38.648659 7.646351
201.913890 138.394488 7.392319
302.934515 237.947811 7.330824
867.966156 43.993145 7.345579
762.662170 633.672467 7.435004
711.274101 683.775077 7.439601
562.088203 242.474340 7.500229
101.989669 187.197277 7.289066
813.509404 685.291930 8.237929
151.499771 188.000000 7.521875
562.234129 140.580705 7.397565
406.279552 591.908115 7.520865
659.820855 733.499576 7.459686
354.445638 287.660103 8.214145
304.198039 491.017954 7.306505
558.483893 483.713558 7.318967
100.958598 286.752725 7.407407
711.290305 783.127034 7.471735
867.996747 193.663455 7.420808
815.636785 343.603101 7.302304
812.573851 734.164648 7.228826
151.445714 590.773103 7.210982
101.100527 86.540001 7.561344
864.748997 585.316288 7.329665
711.468478 733.692663 7.301613
711.777241 534.440550 7.371719
813.542745 535.099952 7.509598
766.144683 343.749726 7.531061
252.655021 136.387595 7.837808
100.978549 236.824778 7.565926
660.539936 633.182723 7.681684
354.986736 87.263605 7.737941
354.977664 591.099593 7.341467
608.503999 734.857797 7.315010
557.216055 783.154951 7.655935
663.593519 143.455532 7.178325
611.714198 242.910009 7.530438
611.852425 341.569231 7.575537
663.011134 192.655573 7.541087
816.870420 142.886621 7.405588
867.977489 144.256752 7.510390
867.609645 344.933461 7.463777
813.372579 584.336438 7.433762
561.025018 192.001613 7.273713
102.094261 135.693355 7.392182
355.171199 236.380475 7.675805
151.588728 86.392534 7.344132
100.947359 540.044801 7.306847
101.028765 640.761577 8.286759
251.967364 286.701494 7.687008
252.546758 541.061001 7.351746
406.138901 137.766299 8.143806
557.887882 682.860413 7.386419
151.184681 286.424043 7.507671
202.661495 639.999748 7.265870
303.754950 87.753388 7.409798
815.476823 243.325388 7.631854
405.113598 337.420805 7.318074
202.806533 187.070523 7.452797
151.548998 540.170846 7.381779
761.463964 734.865262 7.245153
816.825721 293.161428 7.376186
557.790490 533.262648 7.787104
405.762256 39.173768 7.640388
660.840363 484.799330 7.633582
561.822052 92.178323 7.448743
303.473744 287.799071 7.679238
765.990091 193.101837 7.349087
867.209345 294.158506 7.269446
201.897748 36.524838 7.347225
252.689200 337.125446 7.449293
762.422941 684.571528 7.719123
253.117085 87.107396 7.270335
662.664850 342.081537 7.250494
354.693497 691.413506 7.475071
303.958778 541.819201 7.237043
202.409645 540.661723 7.478922
711.507678 585.068340 7.569494
558.369621 633.678701 7.358179
608.680796 584.696374 7.943749
767.197333 43.182081 7.219828
660.581598 534.755909 7.506514
710.951015 634.559030 7.312232
762.620284 534.011585 7.386704
151.041213 640.705115 7.390879
253.976989 186.871531 7.583016
714.515529 242.222220 7.235908
612.532879 142.754883 7.865776
711.542205 485.332795 7.391583
561.547223 42.737024 7.317047
557.779700 583.696358 7.331298
609.389441 533.713449 7.371982
406.116478 543.059153 7.352874
151.811335 136.100224 7.305128
303.186073 592.243196 7.311460
714.820677 43.081921 7.047404
766.259464 143.258646 7.188883
100.443611 690.210572 7.246540
354.734860 138.429920 7.464597
813.940328 484.773475 7.463418
202.862881 490.979338 7.302254
101.340144 490.642352 7.341999
715.432135 143.481473 7.374243
202.836123 590.568385 7.341404
612.399287 43.334671 7.336669
611.648390 292.554394 7.160398
101.270234 590.468467 7.334081
864.261081 734.724590 7.300620
152.075070 36.751304 7.513785
612.645093 92.810723 7.285253
867.709022 243.609015 7.361909
663.210265 242.497358 7.127513
561.154293 341.711701 7.277041
609.224851 683.674455 7.336567
761.855228 784.130226 7.310897
762.502117 584.552027 7.335344
864.428596 635.830876 7.499102
813.233025 634.590952 7.372714
864.709081 486.216684 7.343048
201.778092 87.366948 7.395716
713.860420 292.042050 7.253514
612.395797 192.466611 7.263970
865.056228 535.523811 7.358072
660.090142 585.117389 7.179945
252.658731 490.330010 7.421085
355.235216 542.384813 7.281166
152.325524 490.973570 7.264546
303.494461 37.531393 7.442357
762.589272 484.299193 7.200325
303.551598 137.303759 7.259254
813.189994 784.632512 7.253814
765.531824 93.220933 8.366600
561.585743 291.796577 7.239473
816.035326 43.141346 7.235833
868.330236 93.939599 7.097221
405.603270 491.361094 7.171614
715.913288 91.873049 8.366600
151.718208 336.367049 7.351031
354.416282 491.344822 7.103009
252.311693 640.640706 7.476391
609.071253 483.641465 7.000000
816.639647 92.794929 8.366600
